name,region,county,metres,latitude,longitude,Matthew,Scott,Amy,Emily,More folk please...,...,...,...,
Creag Mhor,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross/Stirling,1046.8,56.489519,-4.614038,,,,,,,,,
Chno Dearg,04B: Loch Treig to Loch Ericht,Highland,1046,56.830077,-4.66083,,,,,,,,,
Ben Wyvis - Glas Leathad Mor,15B: Loch Vaich to Moray Firth,Highland,1046,57.678914,-4.57925,,,,,,,,,
Cruach Ardrain,01C: Loch Lomond to Strathyre,Stirling,1045.9,56.356438,-4.576152,,,2020,,,,,,
Stob Coir' an Albannaich,03C: Glen Etive to Glen Lochy,Argyll and Bute/Highland,1044.9,56.554903,-4.979809,2024,,,,,,,,
Beinn Iutharn Mhor,06B: Pitlochry to Braemar & Blairgowrie,Aberdeenshire/Perth and Kinross,1045,56.894994,-3.568229,,,,,,,,,
Meall nan Tarmachan,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,1043.6,56.521673,-4.301344,,,,,,,,,
Carn Mairg,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,1043,56.634635,-4.145624,2025,,2025,,,,,,
Sgurr na Ciche,10B: Knoydart to Glen Kingie,Highland,1040.2,57.01346,-5.456871,,,,,,,,,
Meall Ghaordaidh,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross/Stirling,1039.8,56.525809,-4.416654,,,,,,,,,
Beinn Achaladair,02A: Loch Rannoch to Glen Lyon,Argyll and Bute/Perth and Kinross,1038.6,56.551909,-4.694515,,,,,,,,,
Carn a' Mhaim,08A: Cairngorms,Aberdeenshire,1037,57.036871,-3.658384,2024,,,,,,,,
Sgurr a' Bhealaich Dheirg,11A: Loch Duich to Cannich,Highland,1036,57.177825,-5.252177,,,,,,,,,
Gleouraich,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1035.1,57.097163,-5.238035,,,,,,,,,
Carn Dearg (Loch Pattack),04B: Loch Treig to Loch Ericht,Highland,1034,56.855242,-4.454693,,,,,,,,,
Am Bodach,04A: Fort William to Loch Treig & Loch Leven,Highland,1031.8,56.74173,-4.98337,,,,,,,,,
Beinn Fhada,11A: Loch Duich to Cannich,Highland,1031.9,57.221002,-5.283519,,,,,,,,,
Ben Oss,01D: Inveraray to Crianlarich,Stirling,1029.8,56.389027,-4.775195,,,,,,,,,
Carn Gorm,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,1029.5,56.622537,-4.226021,2025,,2025,,,,,,
Carn an Righ,06B: Pitlochry to Braemar & Blairgowrie,Perth and Kinross,1029,56.876583,-3.595273,2025,,,,,,,,
Sgurr na Ciste Duibhe,11A: Loch Duich to Cannich,Highland,1027,57.180924,-5.337134,,,,,,,,,
Sgurr a' Mhaoraich,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1026.6,57.105673,-5.330394,,,,,,,,,
Beinn Challuim [Ben Challum],02B: Glen Lyon to Glen Dochart & Loch Tay,Stirling,1024.9,56.454573,-4.619184,,,,,,,,,
Beinn a' Bheithir - Sgorr Dhearg,03B: Loch Linnhe to Loch Etive,Highland,1024.2,56.65393,-5.171511,,,,,,,,,
Liathach - Mullach an Rathain,13A: Loch Torridon to Loch Maree,Highland,1023.9,57.560892,-5.492533,,,,,,,,,
Buachaille Etive Mor - Stob Dearg,03B: Loch Linnhe to Loch Etive,Highland,1021.4,56.646228,-4.900377,,,,,,,,,
Ladhar Bheinn,10B: Knoydart to Glen Kingie,Highland,1020,57.075263,-5.591745,,,,,,,,,
Aonach air Chrith,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1019.5,57.12464,-5.221291,,,,,,,,,
Beinn Bheoil,04B: Loch Treig to Loch Ericht,Highland,1019,56.813267,-4.430662,,,,,,,,,
Carn an Tuirc,07A: Braemar to Montrose,Aberdeenshire,1018.8,56.908265,-3.357125,2021,,2021,,,,,,
Mullach Clach a' Bhlair,08A: Cairngorms,Highland,1019,57.011879,-3.841271,,,,,,,,,
Mullach Coire Mhic Fhearchair,14A: Loch Maree to Loch Broom,Highland,1015.2,57.708995,-5.271357,,,,,,,,,
Garbh Chioch Mhor,10B: Knoydart to Glen Kingie,Highland,1012.9,57.008556,-5.444322,,,,,,,,,
Beinn Ime,01D: Inveraray to Crianlarich,Argyll and Bute,1012.2,56.236794,-4.817125,2025,,2020,,,,,,
The Saddle,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1011.5,57.162395,-5.414721,,,,,,,,,
Cairn Bannoch,07A: Braemar to Montrose,Aberdeenshire/Angus,1011.1,56.927728,-3.278403,,,,,,,,,
Sgurr Eilde Mor,04A: Fort William to Loch Treig & Loch Leven,Highland,1010,56.750006,-4.895435,,,,,,,,,
Beinn Udlamain,05A: Loch Ericht to Glen Tromie & Glen Garry,Highland/Perth and Kinross,1010.2,56.835444,-4.329976,,,,,,,,,
Sgurr an Doire Leathain,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1010,57.13687,-5.281531,,,,,,,,,
Beinn Eighe - Ruadh-stac Mor,13A: Loch Torridon to Loch Maree,Highland,1010,57.593735,-5.429454,,,,,,,,,
Beinn Dearg (Blair Atholl),06A: Glen Tromie to Glen Tilt,Perth and Kinross,1008.7,56.877346,-3.883719,,,,,,,,,
The Devil's Point,08A: Cairngorms,Aberdeenshire,1006.9,57.03571,-3.688803,,,,,,,,,
An Sgarsoch,06A: Glen Tromie to Glen Tilt,Aberdeenshire/Perth and Kinross,1006.5,56.932109,-3.754294,,,,,,,,,
Carn Liath,09C: Loch Lochy to Loch Laggan,Highland,1006.1,56.978793,-4.515289,,,,,,,,,
Beinn Fhionnlaidh (Carn Eige,11A: Loch Duich to Cannich,Highland,1004.8,57.305977,-5.129909,,,,,,,,,
Maoile Lunndaidh,12A: Kyle of Lochalsh to Garve,Highland,1004.9,57.464477,-5.111002,,,,,,,,,
Beinn an Dothaidh,02A: Loch Rannoch to Glen Lyon,Argyll and Bute,1004,56.53013,-4.713981,,,,,,,,,
Sgurr an Lochain,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1004,57.141288,-5.297466,,,,,,,,,
Sgurr Mor (Loch Quoich),10B: Knoydart to Glen Kingie,Highland,1003,57.028446,-5.354206,,,,,,,,,
Beinn a' Bheithir - Sgorr Dhonuill,03B: Loch Linnhe to Loch Etive,Highland,1002.1,56.650531,-5.19789,,,,,,,,,
Sgurr na Carnach,11A: Loch Duich to Cannich,Highland,1002,57.189034,-5.349224,,,,,,,,,
Meall Greigh,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,1001,56.567417,-4.159559,,,2022,,,,,,
Aonach Meadhoin,11A: Loch Duich to Cannich,Highland,1001,57.173026,-5.229166,,,,,,,,,
Stob Ban (Mamores),04A: Fort William to Loch Treig & Loch Leven,Highland,999.7,56.743706,-5.030328,,,,,,,,,
Sgurr Breac,14B: The Fannaichs,Highland,999.6,57.691943,-5.09131,,,,,,,,,
Sgurr Choinnich,12A: Kyle of Lochalsh to Garve,Highland,999.3,57.451026,-5.207916,,,,,,,,,
Stob Daimh [Stob Diamh],03C: Glen Etive to Glen Lochy,Argyll and Bute,999.2,56.431336,-5.091319,2025,,,,,,,,
Sail Chaorainn,11B: Glen Affric to Glen Moriston,Highland,999.2,57.191631,-5.091183,,,,,,,,,
Ben More Assynt,16E: Scourie to Lairg,Highland,998.9,58.138164,-4.858208,2014,,,,,,,,
A' Chailleach (Fannaichs),14B: The Fannaichs,Highland,998.6,57.693773,-5.128713,,,,,,,,,
Glas Bheinn Mhor,03C: Glen Etive to Glen Lochy,Argyll and Bute/Highland,997.7,56.542434,-5.005252,2024,,,,,,,,
Broad Cairn,07A: Braemar to Montrose,Aberdeenshire/Angus,997.1,56.919148,-3.249082,,,,,,,,,
An Caisteal,01C: Loch Lomond to Strathyre,Stirling,995.9,56.338618,-4.62437,,,2020,,,,,,
Spidean Mialach,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,995.9,57.088964,-5.193614,,,,,,,,,
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],03B: Loch Linnhe to Loch Etive,Highland,994,56.619804,-5.080061,,,,,,,,,
